,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  eSSENTIAL Accessibility Audit - PGA Tour,,,Conformance Target:,"WCAG 2.1
Level AA",,Remediation Progress,,,,,,,,,,,,,,,,,,,,
,Date Completed:,7/30/2021,,WCAG Success Criteria,Total Issues,,Original Audit,7/30/2021,,,,,,,,,,,,,,,,,,,
,,,,1.1.1 – Non-text Content (A),6,,Progression Audit,Date,,,,,,,,,,,,,,,,,,,
,,,,1.2.1 – Audio-only and Video-only (Pre-recorded) (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.2.2 – Captions (Pre-recorded) (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.2.3 – Audio Description or Media Alternative (Pre-recorded) (A),1,,Progress by Status,,,,,,,,,,,,,,,,,,,,
,,,,1.2.4 – Captions (Live) (AA),0,,Severity,Fixed,New,Partially Fixed,Not Fixed,Cannot be Fixed,,,,,,,,,,,,,,,
,,,,1.2.5 – Audio Description (Pre-recorded) (AA),0,,Totals,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,1.3.1 – Info and Relationships (A),34,,,,,,,,,,,,,,,,,,,,,,
,,,,1.3.2 – Meaningful Sequence (A),0,,Progress Chart,,,,,,,,,,,,,,,,,,,,
,,,,1.3.3 – Sensory Characteristics (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.3.4 – Orientation (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.3.5 – Identify Input Purpose (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.1 – Use of Colour (A),1,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.2 – Audio Control (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.3 – Contrast (Minimum) (AA),31,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.4 – Resize Text (AA),7,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.5 – Images of Text (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.10 – Reflow (AA),3,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.11 – Non-text Contrast (AA),11,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.12 – Text Spacing (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4.13 – Content on Hover or Focus (AA),0,,,,,,,,,,,,,,,,,,,,,,
,Summary of Issues by Severity,,,2.1.1 – Keyboard (A),18,,,,,,,,,,,,,,,,,,,,,,
,Severity,# of Issues,,2.1.2 – No Keyboard Trap (A),1,,,,,,,,,,,,,,,,,,,,,,
,Critical,34,,2.1.4 – Character Key Shortcuts (A),0,,,,,,,,,,,,,,,,,,,,,,
,High,143,,2.2.1 – Timing Adjustable (A),0,,,,,,,,,,,,,,,,,,,,,,
,Low,16,,"2.2.2 – Pause, Stop, Hide (A)",0,,,,,,,,,,,,,,,,,,,,,,
,Total,193,,2.3.1 – Three Flashes or Below (A),0,,,,,,,,,,,,,,,,,,,,,,
,This table summarizes the total of the individual issues based on severity,,,2.4.1 – Bypass Blocks (A),2,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.2 – Page Titled (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.3 – Focus Order (A),3,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.4 – Link Purpose (In Context) (A),10,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.5 – Multiple Ways (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.6 – Headings and Labels (AA),2,,,,,,,,,,,,,,,,,,,,,,
,,,,2.4.7 – Focus Visible (AA),10,,,,,,,,,,,,,,,,,,,,,,
,,,,2.5.1 – Pointer Gestures (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,2.5.2 – Pointer Cancellation (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,2.5.3 – Label in Name (A),1,,,,,,,,,,,,,,,,,,,,,,
,,,,2.5.4 – Motion Actuation (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,3.1.1 – Language of Page (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,3.1.2 – Language of Parts (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,3.2.1 – On Focus (A),0,,,,,,,,,,,,,,,,,,,,,,
,,,,3.2.2 – On Input (A),1,,,,,,,,,,,,,,,,,,,,,,
,,,,3.2.3 – Consistent Navigation (AA),0,,,,,,,,,,,,,,,,,,,,,,
,,,,3.2.4 – Consistent Identification (AA),0,,,,,,,,,,,,,,,,,,,,,,
